yyyymm,prior CH4 (gCH4 month-1),posterior CH4 (gCH4 month-1)
201001,1.1458E+11,1.09531E+11
201002,1.133E+11,1.02128E+11
201003,1.1759E+11,1.06894E+11
201004,1.264E+11,1.10847E+11
201005,1.7273E+11,1.4976E+11
201006,1.8969E+11,1.63827E+11
201007,1.9146E+11,1.78899E+11
201008,1.9005E+11,1.83049E+11
201009,1.525E+11,1.47455E+11
201010,1.1859E+11,1.10355E+11
201011,1.1635E+11,1.19835E+11
201012,1.148E+11,1.17666E+11
201101,1.165E+11,1.16091E+11
201102,1.1492E+11,1.06749E+11
201103,1.1784E+11,1.08111E+11
201104,1.2773E+11,1.13551E+11
201105,1.7104E+11,1.4641E+11
201106,1.8531E+11,1.63207E+11
201107,1.8582E+11,1.71359E+11
201108,1.8575E+11,1.7908E+11
201109,1.4941E+11,1.27845E+11
201110,1.1749E+11,1.11194E+11
201111,1.1976E+11,1.09741E+11
201112,1.1701E+11,1.18709E+11
201201,1.1823E+11,1.18861E+11
201202,1.1807E+11,1.11698E+11
201203,1.2111E+11,1.122E+11
201204,1.2586E+11,1.1328E+11
201205,1.6882E+11,1.46157E+11
201206,1.8065E+11,1.5067E+11
201207,1.851E+11,1.65975E+11
201208,1.8529E+11,1.86253E+11
201209,1.4848E+11,1.47872E+11
201210,1.2116E+11,1.12422E+11
201211,1.1919E+11,1.26425E+11
201212,1.1998E+11,1.22307E+11
201301,1.1996E+11,1.26674E+11
201302,1.1861E+11,1.07932E+11
201303,1.2074E+11,1.05816E+11
201304,1.2693E+11,1.12482E+11
201305,1.6869E+11,1.46474E+11
201306,1.8424E+11,1.7423E+11
201307,1.893E+11,1.84545E+11
201308,1.8501E+11,1.94723E+11
201309,1.4758E+11,1.44399E+11
201310,1.2037E+11,1.10455E+11
201311,1.1949E+11,1.33955E+11
201312,1.195E+11,1.23199E+11
201401,1.19316E+11,1.17418E+11
201402,1.22849E+11,97291994000
201403,1.2052E+11,1.0605E+11
201404,1.27497E+11,1.08733E+11
201405,1.6756E+11,1.49487E+11
201406,1.80986E+11,1.59928E+11
201407,1.85382E+11,1.90452E+11
201408,1.83506E+11,1.81646E+11
201409,1.50087E+11,1.27731E+11
201410,1.22107E+11,1.10678E+11
201411,1.21567E+11,1.19704E+11
201412,1.2215E+11,1.18612E+11
201501,1.23831E+11,1.11022E+11
201502,1.26235E+11,1.17571E+11
201503,1.25199E+11,1.11408E+11
201504,1.31218E+11,1.05097E+11
201505,1.71846E+11,1.43509E+11
201506,1.84743E+11,1.91988E+11
201507,1.85793E+11,2.13186E+11
201508,1.8269E+11,1.95376E+11
201509,1.51742E+11,1.33182E+11
201510,1.23449E+11,1.15314E+11
201511,1.2628E+11,1.30249E+11
201512,1.25156E+11,1.29858E+11
201601,1.23194E+11,1.29601E+11
201602,1.23034E+11,1.13594E+11
201603,1.25813E+11,1.14616E+11
201604,1.29547E+11,1.04965E+11
201605,1.69349E+11,1.40999E+11
201606,1.82873E+11,1.75428E+11
201607,1.87825E+11,1.91406E+11
201608,1.84681E+11,1.80111E+11
201609,1.5415E+11,1.47694E+11
201610,1.27685E+11,1.33756E+11
201611,1.25084E+11,1.28547E+11
201612,1.2425E+11,1.19654E+11
201701,1.25861E+11,1.34007E+11
201702,1.29861E+11,1.22346E+11
201703,1.26691E+11,1.05764E+11
201704,1.32067E+11,1.16885E+11
201705,1.73229E+11,1.49212E+11
201706,1.84213E+11,1.86567E+11
201707,1.94791E+11,1.9587E+11
201708,1.86998E+11,1.75336E+11
201709,1.52902E+11,1.44297E+11
201710,1.28152E+11,1.17501E+11
201711,1.26617E+11,1.25043E+11
201712,1.26326E+11,1.22606E+11
201801,1.26992E+11,1.21996E+11
201802,1.3101E+11,1.20082E+11
201803,1.28435E+11,1.12113E+11
201804,1.25278E+11,1.076E+11
201805,1.66495E+11,1.38805E+11
201806,1.83257E+11,1.72351E+11
201807,1.88402E+11,1.73115E+11
201808,1.9113E+11,1.76231E+11
201809,1.70228E+11,1.60932E+11
201810,1.2939E+11,1.11978E+11
201811,1.30356E+11,1.29414E+11
201812,1.29528E+11,1.2428E+11
201901,1.28896E+11,1.3494E+11
201902,1.32662E+11,1.18999E+11
201903,1.28882E+11,1.20973E+11
201904,1.27232E+11,1.01187E+11
201905,1.70172E+11,1.49243E+11
201906,1.85297E+11,1.57773E+11
201907,1.86019E+11,1.93936E+11
201908,1.88541E+11,1.93861E+11
201909,1.73511E+11,1.53246E+11
201910,1.32314E+11,1.21699E+11
201911,1.3057E+11,1.32182E+11
201912,1.30082E+11,1.31412E+11
202001,1.30483E+11,1.25391E+11
202002,1.34915E+11,1.21507E+11
202003,1.3166E+11,1.1973E+11
202004,1.29494E+11,1.18783E+11
202005,1.6866E+11,1.48924E+11
202006,1.8653E+11,1.55277E+11
202007,1.86878E+11,2.03276E+11
202008,1.93418E+11,1.78372E+11
202009,1.73421E+11,1.81404E+11
202010,1.32083E+11,1.32126E+11
202011,1.33641E+11,1.26168E+11
202012,1.31597E+11,1.34356E+11
202101,1.32917E+11,1.24079E+11
202102,1.36903E+11,1.24871E+11
202103,1.34245E+11,1.05012E+11
202104,1.31441E+11,1.1162E+11
202105,1.75351E+11,1.55005E+11
202106,1.94001E+11,1.75877E+11
202107,1.93757E+11,1.79896E+11
202108,1.95654E+11,1.88122E+11
202109,1.77192E+11,1.60648E+11
202110,1.36528E+11,1.2089E+11
202111,1.3479E+11,1.29287E+11
202112,1.34262E+11,1.26725E+11
